model,horizon_day,accuracy,precision,recall,f1_score,cohens_kappa,auc_roc,false_alarm_rate,missed_event_rate,tn,fp,fn,tp
GRU,1,0.8808864265927978,0.5483870967741935,0.6938775510204082,0.6126126126126126,0.5433740255919989,0.8448456305599163,0.08974358974330211,0.30612244897334445,284,28,15,34
GRU,2,0.8836565096952909,0.5573770491803278,0.6938775510204082,0.6181818181818182,0.5505158306652438,0.8460230245944531,0.08653846153818417,0.30612244897334445,285,27,15,34
GRU,3,0.8808864265927978,0.5483870967741935,0.6938775510204082,0.6126126126126126,0.5433740255919989,0.8494897959183674,0.08974358974330211,0.30612244897334445,284,28,15,34
GRU,4,0.8808864265927978,0.5483870967741935,0.6938775510204082,0.6126126126126126,0.5433740255919989,0.8508634222919937,0.08974358974330211,0.30612244897334445,284,28,15,34
GRU,5,0.8781163434903048,0.5396825396825397,0.6938775510204082,0.6071428571428571,0.5363418763500496,0.8528257456828886,0.09294871794842004,0.30612244897334445,283,29,15,34
GRU,6,0.8753462603878116,0.53125,0.6938775510204082,0.6017699115044248,0.5294168766837577,0.8508634222919937,0.09615384615353798,0.30612244897334445,282,30,15,34
GRU,7,0.8725761772853186,0.5230769230769231,0.6938775510204082,0.5964912280701754,0.5225965961361545,0.8489010989010989,0.0993589743586559,0.30612244897334445,281,31,15,34
GRU,8,0.8808864265927978,0.5483870967741935,0.6938775510204082,0.6126126126126126,0.5433740255919989,0.8448456305599163,0.08974358974330211,0.30612244897334445,284,28,15,34
GRU,9,0.8836565096952909,0.5573770491803278,0.6938775510204082,0.6181818181818182,0.5505158306652438,0.8424254317111459,0.08653846153818417,0.30612244897334445,285,27,15,34
GRU,10,0.8836565096952909,0.5573770491803278,0.6938775510204082,0.6181818181818182,0.5505158306652438,0.8406593406593406,0.08653846153818417,0.30612244897334445,285,27,15,34
GRU,11,0.8864265927977839,0.5573770491803278,0.7083333333333334,0.6238532110091743,0.558086764398531,0.8526357827476038,0.08626198083039534,0.2916666666605903,286,27,14,34
GRU,12,0.8947368421052632,0.576271186440678,0.723404255319149,0.6415094339622641,0.5807457212713936,0.8683425938474048,0.07961783439465091,0.27659574467496606,289,25,13,34
GRU,13,0.8919667590027701,0.5666666666666667,0.723404255319149,0.6355140186915887,0.5731955012580714,0.8680037945521072,0.08280254777043694,0.27659574467496606,288,26,13,34
GRU,14,0.8947368421052632,0.576271186440678,0.723404255319149,0.6415094339622641,0.5807457212713936,0.8678005149749288,0.07961783439465091,0.27659574467496606,289,25,13,34
